iteration,time_s,shift,inertia,method,workers,clusters
0,0.1505460999906063,5.3343825340271,8292910.0,serial,1,4
1,0.16067929996643215,1.5601775646209717,7405735.0,serial,1,4
2,0.15340019995346665,1.8736793994903564,7286266.5,serial,1,4
3,0.1583059000549838,2.333430767059326,7160189.5,serial,1,4
4,0.14194749994203448,0.38628724217414856,7073930.0,serial,1,4
5,0.12927430006675422,0.04531783238053322,7071664.5,serial,1,4
0,1.1565041000721976,5.334378719329834,8292910.21875,parallel_partial_stats_mp,2,4
1,0.09713050001300871,1.5602443218231201,7405742.7734375,parallel_partial_stats_mp,2,4
2,0.09937819989863783,1.8751580715179443,7286262.265625,parallel_partial_stats_mp,2,4
3,0.09394500008784235,2.333446502685547,7160060.4140625,parallel_partial_stats_mp,2,4
4,0.09232060005888343,0.3845224976539612,7073911.703125,parallel_partial_stats_mp,2,4
5,0.09997750003822148,0.04532714933156967,7071664.390625,parallel_partial_stats_mp,2,4
0,1.2653795999940485,5.334378242492676,8292910.23046875,parallel_partial_stats_mp,4,4
1,0.08273959998041391,1.5602444410324097,7405742.8359375,parallel_partial_stats_mp,4,4
2,0.08897579996846616,1.8751581907272339,7286262.2109375,parallel_partial_stats_mp,4,4
3,0.08830040006432682,2.333446502685547,7160060.46875,parallel_partial_stats_mp,4,4
4,0.08957780001219362,0.384522408246994,7073911.96484375,parallel_partial_stats_mp,4,4
5,0.08748810004908592,0.04532716050744057,7071664.33203125,parallel_partial_stats_mp,4,4
0,0.27369559998624027,6.027813911437988,7979336.0,serial,1,7
1,0.2661288999952376,2.442690372467041,7184419.5,serial,1,7
2,0.2587947000283748,2.902137041091919,7086092.5,serial,1,7
3,0.27563639997970313,5.573732376098633,6971633.0,serial,1,7
4,0.2699214000022039,1.9622952938079834,6816035.0,serial,1,7
5,0.2657030998962,1.0397919416427612,6787780.0,serial,1,7
0,1.2523571000201628,6.027790069580078,7979336.453125,parallel_partial_stats_mp,2,7
1,0.1556235000025481,2.4423940181732178,7184414.1015625,parallel_partial_stats_mp,2,7
2,0.18743309995625168,2.901998519897461,7086100.3984375,parallel_partial_stats_mp,2,7
3,0.17764060001354665,5.574218273162842,6971646.18359375,parallel_partial_stats_mp,2,7
4,0.184127299929969,1.9638643264770508,6816033.8671875,parallel_partial_stats_mp,2,7
5,0.16495470004156232,1.038377285003662,6787766.2578125,parallel_partial_stats_mp,2,7
0,1.3271286999806762,6.02778959274292,7979336.4921875,parallel_partial_stats_mp,4,7
1,0.14540459995623678,2.4423933029174805,7184414.08203125,parallel_partial_stats_mp,4,7
2,0.14857660001143813,2.901998519897461,7086100.51953125,parallel_partial_stats_mp,4,7
3,0.1487896000035107,5.574218273162842,6971646.31640625,parallel_partial_stats_mp,4,7
4,0.1545908999396488,1.9638643264770508,6816033.8828125,parallel_partial_stats_mp,4,7
5,0.14915069995913655,1.0383774042129517,6787766.2734375,parallel_partial_stats_mp,4,7
